openedMonth,ticketType,contactType,regionName,deskName,serviceName,symptomName,ctr
1435795200000,INC,Chat,Asia,baseservices,Software,MAAS360 - All Other Issues,1
1435795200000,INC,Chat,Asia,Others,Software,Service Now - All Other Issues,1
1435795200000,INC,Chat,Europe,baseservices,Software,Novelis Specific Software - Access/Permi,1
1435795200000,INC,Chat,Europe,deskside,Hardware,Hardware Replacement,1
1435795200000,INC,Chat,Europe,deskside,Hardware,PC / Laptop Device Issue,1
1435795200000,INC,Chat,Europe,deskside,Hardware,PC / Laptop Peripherals,1
1435795200000,INC,Chat,Europe,deskside,Software,Novelis Specific Software - Access/Permi,1
1435795200000,INC,Chat,Europe,Others,Hardware,Telephony Device Issue,1
1435795200000,INC,Chat,Europe,Others,Others,Status Check Request,2
1435795200000,INC,Chat,Europe,Others,Software,AS400 - All Other Issues,1
1435795200000,INC,Chat,Europe,Others,Software,AS400 - Printer Issue,1
1435795200000,INC,Chat,Europe,Others,Software,VPN - Add Credentials,1
1435795200000,INC,Chat,Europe,servicedesk,Others,Call Disconnected,1
1435795200000,INC,Chat,Europe,servicedesk,Others,Non IT Questions,2
1435795200000,INC,Chat,Europe,servicedesk,Others,Status Check,3
1435795200000,INC,Chat,Europe,servicedesk,Others,Status Check Incident,3
1435795200000,INC,Chat,Europe,servicedesk,Others,Status Check Request,11
1435795200000,INC,Chat,Europe,servicedesk,Software,Active Directory - Update Information,2
1435795200000,INC,Chat,Europe,servicedesk,Software,Novelis Specific Software - Software Iss,2
1435795200000,INC,Chat,Europe,servicedesk,Software,Novelis Specific Software - Software Req,2
1435795200000,INC,Chat,Europe,servicedesk,Software,Novelis Specific Software - Upgrade,1
1435795200000,INC,Chat,Europe,servicedesk,Software,SAP - All other issues,1
1435795200000,INC,Chat,Europe,servicedesk,Software,SAP - Password Reset (Prod),2
1435795200000,INC,Chat,Europe,servicedesk,Software,Software Install,2
1435795200000,INC,Chat,N.America,baseservices,Software,Novelis Specific Software - Access/Permi,1
1435795200000,INC,Chat,N.America,baseservices,Software,Novelis Specific Software - Software Iss,1
1435795200000,INC,Chat,N.America,baseservices,Software,Outlook - All Other Issues,1
1435795200000,INC,Chat,N.America,baseservices,Software,Outlook - Configuration,1
1435795200000,INC,Chat,N.America,baseservices,Software,Windows Configuration,1
1435795200000,INC,Chat,N.America,deskside,Hardware,Printer How to,1
1435795200000,INC,Chat,N.America,deskside,Software,Active Directory - Password Reset,1
1435795200000,INC,Chat,N.America,deskside,Software,Outlook - All Other Issues,1
1435795200000,INC,Chat,N.America,deskside,Software,Outlook - Troubleshoot,1
1435795200000,INC,Chat,N.America,deskside,Software,PC / Laptop Troubleshoot,1
1435795200000,INC,Chat,N.America,deskside,Software,Software Install,2
1435795200000,INC,Chat,N.America,deskside,Software,Software Update,2
1435795200000,INC,Chat,N.America,Others,Hardware,Mobile Devices All Other Issues,1
1435795200000,INC,Chat,N.America,Others,Hardware,Telephony Device Issue,1
1435795200000,INC,Chat,N.America,Others,Services,Services How to,2
1435795200000,INC,Chat,N.America,Others,Software,Break Fix - Code,1
1435795200000,INC,Chat,N.America,Others,Software,SAP - All other issues,2
1435795200000,INC,Chat,N.America,Others,Software,Security - Authorization,2
1435795200000,INC,Chat,N.America,Others,Software,Service Now - All Other Issues,1
1435795200000,INC,Chat,N.America,Others,Software,Service Request,1
1435795200000,INC,Chat,N.America,Others,Software,Windows - All Other Issues,1
1435795200000,INC,Chat,N.America,servicedesk,Hardware,Mobile Devices All Other Issues,2
1435795200000,INC,Chat,N.America,servicedesk,Hardware,Mobile Devices How to,2
1435795200000,INC,Chat,N.America,servicedesk,Hardware,Telephony Device Issue,1
1435795200000,INC,Chat,N.America,servicedesk,Others,Non IT Questions,7
1435795200000,INC,Chat,N.America,servicedesk,Others,Service Request Creation,6
1435795200000,INC,Chat,N.America,servicedesk,Others,Status Check,16
1435795200000,INC,Chat,N.America,servicedesk,Others,Status Check Incident,6
1435795200000,INC,Chat,N.America,servicedesk,Others,Status Check Request,9
1435795200000,INC,Chat,N.America,servicedesk,Services,Services How to,7
1435795200000,INC,Chat,N.America,servicedesk,Software,Active Directory - Password Reset,4
1435795200000,INC,Chat,N.America,servicedesk,Software,ESS - Submit Request,1
1435795200000,INC,Chat,N.America,servicedesk,Software,MAAS360 - Enrollment,2
1435795200000,INC,Chat,N.America,servicedesk,Software,Novelis Specific Software - Access/Permi,2
1435795200000,INC,Chat,N.America,servicedesk,Software,Novelis Specific Software - Configuration,1
1435795200000,INC,Chat,N.America,servicedesk,Software,Novelis Specific Software - Data Issue,2
1435795200000,INC,Chat,N.America,servicedesk,Software,Novelis Specific Software - How To,2
1435795200000,INC,Chat,N.America,servicedesk,Software,Novelis Specific Software - Inquiry,2
1435795200000,INC,Chat,N.America,servicedesk,Software,Novelis Specific Software - Software Iss,2
1435795200000,INC,Chat,N.America,servicedesk,Software,Novelis Specific Software - Software Req,2
1435795200000,INC,Chat,N.America,servicedesk,Software,Novelis Specific Software - Upgrade,1
1435795200000,INC,Chat,N.America,servicedesk,Software,Novelis Specific Software - User Adminis,1
1435795200000,INC,Chat,N.America,servicedesk,Software,Outlook - All Other Issues,1
1435795200000,INC,Chat,N.America,servicedesk,Software,Outlook - Configuration,1
1435795200000,INC,Chat,N.America,servicedesk,Software,SAP - Password Reset (Others),1
1435795200000,INC,Chat,N.America,servicedesk,Software,SAP - Password Reset (Prod),7
1435795200000,INC,Chat,N.America,servicedesk,Software,Service Now - How to,3
1435795200000,INC,Chat,N.America,servicedesk,Software,Service Now - Inquiry,1
1435795200000,INC,Chat,N.America,servicedesk,Software,Sharepoint - Troubleshoot,1
1435795200000,INC,Chat,N.America,servicedesk,Software,Software Install,2
1435795200000,INC,Chat,N.America,servicedesk,Software,Software Uninstall,2
1435795200000,INC,Chat,N.America,servicedesk,Software,Software Update,6
1435795200000,INC,Chat,N.America,servicedesk,Software,VPN - Add Credentials,4
1435795200000,INC,Chat,N.America,servicedesk,Software,VPN - Troubleshoot,2
1435795200000,INC,Chat,N.America,servicedesk,Software,Webex - Troubleshoot,1
1435795200000,INC,Chat,S.America,deskside,Hardware,PC / Laptop Device Issue,1
1435795200000,INC,Chat,S.America,deskside,Hardware,Printer Configuration,1
1435795200000,INC,Chat,S.America,deskside,Software,Outlook - All Other Issues,1
1435795200000,INC,Chat,S.America,Others,Services,Telecoms All Other Issues,1
1435795200000,INC,Chat,S.America,Others,Software,Novelis Specific Software - Data Issue,1
1435795200000,INC,Chat,S.America,Others,Software,Oracle - All Other Issues,1
1435795200000,INC,Chat,S.America,servicedesk,Others,Status Check,1
1435795200000,INC,Chat,S.America,servicedesk,Others,Status Check Incident,1
1435795200000,INC,Chat,S.America,servicedesk,Software,Citrix - reset session,1
1435795200000,INC,Chat,S.America,servicedesk,Software,Lotus Notes- software issue,1
1435795200000,INC,Chat,S.America,servicedesk,Software,MS Office - All Other Issues,1
1435795200000,INC,Chat,S.America,servicedesk,Software,Novelis Specific Software - How To,2
